ID,Tool
22982,Chave Sextavada Umbrako 19 mm
26561,Fita de Alumínio 50MT
5043,Chave de Luneta 12-13
24628,Pedra/ Mó Montada Cilíndrica Média para Rebolo
23545,Folha de Lixa G220
23795,Esquadros pequenos (até 250mm)
24915,Alcaiata fêmea M24 (Olhal de Suspensão)
5178,Chave de Bocas 30-32
13734,Manguitos soldador (curtos)
7967,"Chave de Impacto 1"" 75 mm"
22674,"Chave de Impacto 1/2"" 32 mm"
29579,Cabo Elétrico H07RN-F(FBBN) 5G10
29356,Ponteira Isolada Dupla 2.5mm
39942,Spray de limpeza industrial
29342,Ponteira Isolada 1mm
25321,Isolador Gás-Lens 54N01 (Vedante)
24690,"Manilhas de 1+1/8"""
23800,Compasso de bico 200 mm
32749,Auricular com esponja (tampão reutilizável) SNR 32dB
23611,Disco Ø 125 * 6.4mm - NÃO USAR CÓDIGO PHC
32785,Abraçadeira de Orelhas
13598,Máscara Panorâmica (6700-S; 6800-M; 6900-L)
27999,Toldo de 10 a 20m2
24049,Fato Ignifugo XL 210Gr
19442,"Bico contacto M8*1,6mm MIG"
5162,Chave de Pancada Luneta 80
26612,Rolo filme Preto
34912,Broca SDS-PLUS 6x250mm
15182,"Elétrodo E308L 2,5 mm"
71096,"Bico contacto M10*1,2mm MIG KEMPPI"
26715,Pincel para Ácido
24626,Pedra/ Mó Montada Cilíndrica Pequena para Rebolo
25004,Suporte Bico M8 MIG/MAG Tocha 505W
24916,Alcaiata macho M8 (Olhal de Suspensão)
26168,Fita Teflon
11403,"Cardan de impacto 1"""
26691,Spray Zinco
23538,Folha de Lixa G60
23821,Rascador Triangular
23577,Nível 1800 mm
26999,Decapante Antox ( Acido )
24911,Alcaiata fêmea M10 (Olhal de Suspensão)
22977,Chave Sextavada Umbrako 12 mm
23553,Régua de Alumínio 1.5 Mt
26611,Rolo filme transparente
31854,"Cabo Elétrico H07RN-F(FBBN) 3G2,5"
28760,Malho anti-ricochete 5Kg (borracha)
39828,Estropo de aço / espia  (seg. mangueiras)
22640,"Chave Ajustável 8"" (francesa / inglesa)"
5042,Chave de Luneta 10-11
22672,"Chave de Impacto 1/2"" 27 mm"
24386,Esquadros grandes 800 a 1000mm
19022,Bota PVC Biq. e Palm. Aço Tam. 43
23481,"Jogo Chaves Sextavada Longas Umbrako 1/16"" a 3/8"""
33503,Escovilhão com haste para rebolo carb.
19021,Bota PVC Biq. e Palm. Aço Tam. 42
15855,Bico corte oxi-acetileno 25/10 G1-A
5377,Chave de Pancada Luneta 34
22643,"Chave Ajustável 15"" (francesa / inglesa)"
80451,Vidro escuro p/ máscara soldar N9 108*51mm
22876,"Chave de Impacto Longa 3/4"" 24 mm"
23197,Alicate Pressão Apanha Tubos para soldadura
8007,"Chave de Impacto 3/4"" 24 mm"
5088,Chave de Luneta 30-32
57830,Altop
67855,"Conjunto chaves umbrako mm 12, 13, 14, 15, 16, 17, 18, 19, 20 , 22"
26710,Vareta TIG Aço Carbono ER 70S-6 3.2mm
33401,Lamela para Rebolo G60 40mm
29345,Ponteira Isolada 4mm
5163,Chave de Pancada Luneta 90
22660,"Chave de Impacto 1/2"" 13 mm"
22509,Chave de Pancada Boca 38
36823,Barraca soldador
23657,Broca de Ferro HSS 6mm
23108,Spray de Lavagem de Produtos Corrosivos e Irritantes(Diphoterine)
16536,"Chave Ajustável 18"" (francesa / inglesa)"
22404,Chave de Bocas 14-15
8000,"Chave de Impacto 3/4"" 32 mm"
