MOVEMENTID,ToolID,Tool,TotalVolume
77356,135785,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",1.00
77356,135360,Retificadora diam. 125 mm,1.00
77356,135965,Extensão Tripla 230V,1.00
77356,135784,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",1.00
77356,135968,Extensão Tripla 230V,1.00
77356,135961,Extensão Tripla 230V,1.00
77356,135964,Extensão Tripla 230V,1.00
77356,135967,Extensão Tripla 230V,1.00
76990,89954,Extensão Tripla 220V,1.00
76947,15310,Luva de Latex,200.00
76947,112136,Máquina de Alinhamentos SKF,1.00
76922,4314,Retificadora diam. 230 mm,1.00
76922,2430,Retificadora diam. 125 mm,1.00
76922,5274,Balde,1.00
76922,4582,Mangueira de Ar,1.00
76922,5028,Chave de Pancada Boca 46,1.00
76922,5180,Chave de Boca-Luneta 46,1.00
76922,5355,Chave de Bocas 41-46,1.00
76922,7175,Diferencial de 1 Ton,1.00
76922,5230,Manómetro de Árgon / CO2 (Protar - Azoto),2.00
76922,5354,Chave de Boca-Luneta 36,2.00
76922,8195,Luvas pele (mecânico) Tam. 10,12.00
76922,12316,Carro duplo de transporte de gás,1.00
76922,5233,Debitómetro / Fluxómetro de coluna de esfera,2.00
76922,8194,Luvas pele (mecânico) Tam. 9,36.00
76922,11225,Mascara de soldar Baby Fibra,2.00
76922,15552,Disco Lamelas Ø 125 G60,30.00
76922,7309,Grampo médio  - 500mm a 600mm,4.00
76922,8207,Capacete Proteção (Delta Plus azul),4.00
76922,11257,Agulheta / Ferreta / Alavanca,2.00
76922,16268,Chave de Boca-Luneta 41,2.00
76922,16913,Aloquete/Cadeado metálico 30mm,7.00
76922,13075,Retificadora diam. 125 mm,1.00
76922,22931,"Trincha Júnior 2""",2.00
76922,16358,Chave de Boca-Luneta 24,2.00
76922,22842,Escova de Aço Inox,10.00
76922,17268,Aloquete/Cadeado metálico 40mm,2.00
76922,26999,Decapante Antox ( Acido ),2.00
76922,22544,Chave de Boca-Luneta 27,2.00
76922,23815,Vareta TIG Inox ER316L 2.0mm,15.00
