ID,NAME,SUBFAMILYID
2597,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2598,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2599,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2600,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2601,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2602,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2603,Aparelho de soldar,527
2604,Berbequim de base magnética,545
2605,Retificadora diam. 180 mm,864
2606,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2607,Retificadora diam. 125 mm,863
2608,Puxa 6 Ton (Diferencial Manual Alavanca / Camelão),945
2609,Puxa 6 Ton (Diferencial Manual Alavanca / Camelão),945
2610,Diferencial de 1 Ton,948
2611,Diferencial de 1 Ton,948
2612,Diferencial de 1 Ton,948
2613,Diferencial de 1 Ton,948
2614,Diferencial de 1 Ton,948
2615,Diferencial de 1 Ton,948
2616,Diferencial de 1 Ton,948
2617,Diferencial de 1 Ton,948
2618,Diferencial de 1 Ton,948
2619,Diferencial de 1 Ton,948
2620,Diferencial de 1 Ton - Perdido CT36,948
2621,"Diferencial de 0,5 Ton",947
2622,"Diferencial de 0,5 Ton",947
2623,"Diferencial de 0,5 Ton",947
2624,"Diferencial de 1,5 Ton",949
2625,"Diferencial de 1,5 Ton",949
2626,"Diferencial de 1,5 Ton",949
2627,"Diferencial de 1,5 Ton",949
2628,Diferencial de 2 Ton,950
2629,Diferencial de 2 Ton,950
2630,Diferencial de 2 Ton,950
2631,Diferencial de 2 Ton,950
2632,Diferencial de 2 Ton,950
2633,Diferencial de 2 Ton,950
2634,Diferencial de 2 Ton,950
2635,Diferencial de 2 Ton,950
2637,Diferencial de 5 Ton,952
2638,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2639,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2640,"Puxa 0,75 Ton (Diferencial Manual Alavanca / Camelão)",946
2641,Diferencial 2 Ton (corrente comprida),950
2642,Puxa 3 Ton (Diferencial Manual Alavanca / Camelão),944
2643,Diferencial de 2 Ton,950
2644,Extensão Tripla 220V,584
2645,Extensão CEE,584
2647,Cilindro Hidráulico Compacto 29 Ton,589
2648,"Cilindro Hidráulico 23,2 Ton",591
2649,Bomba Hidráulica,876
2650,Cilindro Hidráulico Alavanca,591
2651,Porta paletes,826
2652,Aparelho de soldar semi-automático,762
2653,"Diferencial de 1,5 Ton",949
2654,Cilindro Hidráulico (23 Ton),591
2655,Cilindro Hidráulico (duplo efeito) 30 Ton,583
2656,Bomba Hidráulica,876
2657,Bomba Hidráulica,876
2658,Cilindro Hidráulico (duplo efeito),583
2659,Cilindro Hidráulico furado,689
2660,Cilindro Hidráulico 30 Ton,591
2661,"Macaco Hidráulico 16,6 Ton",591
2662,"Cilindro Hidráulico 30,9 Ton",591
2663,Guincho Pneumático,699
2664,Aparelho de soldar TIG,904
2665,Cilindro Hidráulico FURADO 30 Ton,591
2666,Cilindro Hidráulico Compacto 29 Ton,589
2667,"Cilindro Hidráulico 23,2 Ton",591
2668,Cilindro Hidráulico 10 Ton,591
2669,Cilindro Hidráulico 5 Ton,591
2670,Cilindro Hidráulico 33 Ton,591
2671,Cilindro Hidráulico 11 Ton,591
2672,Aparelho de soldar,527
2673,Bomba Hidráulica 700 bar,876
2674,Bomba Hidráulica 700 bar,876
2675,Bomba Hidráulica 700 bar,876
2677,Cilindro Hidráulico 5 Ton,591
